id,product,season,color,color_parent,size,categoria,nivel,temporada,style,print
000a29f9-d1c0-4623-b319-9ad790f20436,sloane shirt print,8,aubergine,purple,XS,shirt,2,cold,boho,no print
000a29f9-d1c0-4623-b319-9ad790f20436,sloane shirt print,8,aubergine,purple,XXL,shirt,2,cold,boho,no print
000a29f9-d1c0-4623-b319-9ad790f20436,sloane shirt print,8,aubergine,purple,XL,shirt,2,cold,boho,no print
000a29f9-d1c0-4623-b319-9ad790f20436,sloane shirt print,8,aubergine,purple,L,shirt,2,cold,boho,no print
000a29f9-d1c0-4623-b319-9ad790f20436,sloane shirt print,8,aubergine,purple,S,shirt,2,cold,boho,no print
000a29f9-d1c0-4623-b319-9ad790f20436,sloane shirt print,8,aubergine,purple,M,shirt,2,cold,boho,no print
0019ca8e-f47d-41c4-8d1a-66c9247581ef,swim tshirt season,7,mustand,yellow,S,shirt,2,warm,boho,miniprint
0019ca8e-f47d-41c4-8d1a-66c9247581ef,swim tshirt season,7,mustand,yellow,M,shirt,2,warm,boho,miniprint
0019ca8e-f47d-41c4-8d1a-66c9247581ef,swim tshirt season,7,mustand,yellow,L,shirt,2,warm,boho,miniprint
001f2644-befa-4845-a4ac-48182b880164,charles skirt welsh ,8,grey,grey,S,skirt,1,cold,street,glen_plaid
001f2644-befa-4845-a4ac-48182b880164,charles skirt welsh ,8,grey,grey,M,skirt,1,cold,street,glen_plaid
001f2644-befa-4845-a4ac-48182b880164,charles skirt welsh ,8,grey,grey,L,skirt,1,cold,street,glen_plaid
00823bca-296d-49fe-85c0-1bc50e91f587,elina sweater lurex ,8,black,black,XS,sweater,2,cold,street,no print
00823bca-296d-49fe-85c0-1bc50e91f587,elina sweater lurex ,8,black,black,XL,sweater,2,cold,street,no print
00823bca-296d-49fe-85c0-1bc50e91f587,elina sweater lurex ,8,black,black,L,sweater,2,cold,street,no print
00823bca-296d-49fe-85c0-1bc50e91f587,elina sweater lurex ,8,black,black,S,sweater,2,cold,street,no print
00823bca-296d-49fe-85c0-1bc50e91f587,elina sweater lurex ,8,black,black,M,sweater,2,cold,street,no print
00855490-a542-4e22-b915-3c9a3f3d8663,moon tshirt dark ,9,blue_dark,blue,XS,shirt,2,warm,street,no print
00855490-a542-4e22-b915-3c9a3f3d8663,moon tshirt dark ,9,blue_dark,blue,XXL,shirt,2,warm,street,no print
00855490-a542-4e22-b915-3c9a3f3d8663,moon tshirt dark ,9,blue_dark,blue,XL,shirt,2,warm,street,no print
00855490-a542-4e22-b915-3c9a3f3d8663,moon tshirt dark ,9,blue_dark,blue,L,shirt,2,warm,street,no print
00855490-a542-4e22-b915-3c9a3f3d8663,moon tshirt dark ,9,blue_dark,blue,S,shirt,2,warm,street,no print
00855490-a542-4e22-b915-3c9a3f3d8663,moon tshirt dark ,9,blue_dark,blue,M,shirt,2,warm,street,no print
00afdb7d-4768-4ba4-b58b-d28e4693e934,lea top charlior ,9,brick,red,S,top,2,atemporal,boho,no print
00afdb7d-4768-4ba4-b58b-d28e4693e934,lea top charlior ,9,brick,red,M,top,2,atemporal,boho,no print
00afdb7d-4768-4ba4-b58b-d28e4693e934,lea top charlior ,9,brick,red,L,top,2,atemporal,boho,no print
00c7bc77-ac02-4fe6-83c8-26a4bd2f3e02,carwilly jeans skinny ,9,white,white,X4XL,jeans,1,cold,street,no print
00c7bc77-ac02-4fe6-83c8-26a4bd2f3e02,carwilly jeans skinny ,9,white,white,XXL,jeans,1,cold,street,no print
